id1,id2,grounding,a,b
5ea2d97bc9e77c0009cda36d_4,5ea2d97bc9e77c0009cda36d_2,"Among the more than 6000 guests and musical performers at the 2009 convention were such notables as Patrick Stewart , William Shatner , Leonard Nimoy , Terry Gilliam , Bruce Boxleitner , James Marsters , and Mary McDonnell .",Dragon Con had over 5000 guests .,Dragon Con had less than 1000 guests .
5ee3932bc9e77c0008cca539_4,5ee3932bc9e77c0008cca539_2,"As of , more than cases of COVID-19 have been reported in more than 190 countries and 200 territories , resulting in more than deaths .",COVID-19 has reached more than 185 countries .,COVID-19 has reached less than 185 countries .
5ee3932ac9e77c0008cc9d4f_1,5ee3932ac9e77c0008cc9d4f_3,"As of 12 March , among nations with at least one million citizens , Italy has the world 's highest per capita rate of positive coronavirus cases at 206.1 cases per million people ( 3.6x times the rate of China ) and is the country with the second-highest number of positive cases as well as of deaths in the world , after China .","In March , Italy had 3.6x times more cases of coronavirus than China .","In March , Italy had fewer cases of coronavirus than China if the province of Hubei was included ."
5ee3932ac9e77c0008cc9d4f_4,5ee3932ac9e77c0008cc9d4f_2,"As of 12 March , among nations with at least one million citizens , Italy has the world 's highest per capita rate of positive coronavirus cases at 206.1 cases per million people , having more confirmed cases than all of mainland China excluding Hubei province ; and is the country with the second-highest number of positive cases as well as of deaths in the world , after mainland China .","In March , Italy had fewer cases of coronavirus than China if the province of Hubei was included .","In March , Italy had 3.6x times more cases of coronavirus than China ."
5ee3932ac9e77c0008cc95a3_4,5ee393b6c9e77c0008ccbd3c_1,"As of 14 March , over 149,000 cases have been reported in around 150 countries and territories ; more than 5,600 people have died from the disease and over 73,000 have recovered .","More than 145 countries and territories have reported over 149,000 cases of coronavirus as of March 14 , 2020 .","As of 14 March , 2020 less than 150,000 coronavirus cases had been reported in around 150 countries and territories ."
5ee393b6c9e77c0008ccbd3c_4,5ee393b6c9e77c0008ccbd3c_2,"As of 14 March , over 150,000 cases have been reported in around 150 countries and territories ; more than 5,600 people have died from the disease and over 73,000 have recovered .","As of 14 March , 2020 more than 150,000 coronavirus cases had been reported in around 150 countries and territories .","As of 14 March , 2020 less than 150,000 coronavirus cases had been reported in around 150 countries and territories ."
5ee39329c9e77c0008cc92b7_1,5ee3932dc9e77c0008ccb67c_1,"As of 14 March , over 155,000 cases of COVID-19 have been reported in around 140 countries and territories ; more than 5,800 people have died from the disease and around 74,000 have recovered .","At least 155,001 cases of COVID-19 have been reported .","Around 140 countries had reported fewer than 156,000 COVID-19 cases and less than 75,000 recoveries by March 14 ."
5ee3932dc9e77c0008ccb67c_4,5ee3932dc9e77c0008ccb67c_2,"As of 14 March , over 156,000 cases of COVID-19 have been reported in around 140 countries and territories ; more than 5,800 people have died from the disease and around 75,000 have recovered .","Around 140 countries had reported over 156,000 COVID-19 cases and more than 75,000 recoveries by March 14 , 2020 .","Around 140 countries had reported fewer than 156,000 COVID-19 cases and less than 75,000 recoveries by March 14 ."
5ee3932dc9e77c0008ccb4ad_4,5ee3932dc9e77c0008ccb4ad_2,"As of 16 March , more than 182,000 cases of the disease have been reported in over 160 countries and territories , resulting in around 79,000 recoveries and more than 7,100 deaths .","More than 78,500 coronavirus recuperations have been recorded around the world .","Fewer than 78,500 coronavirus recuperations have been recorded around the world ."
5ee3932dc9e77c0008ccb4a5_1,5ee3932dc9e77c0008ccb4a5_3,"As of 16 March , more than 185,000 cases of the disease have been reported in over 160 countries and territories , resulting in more than 7,300 deaths and around 79,000 recoveries .","As of March 16 , 2020 , there are fewer than 79,500 COVID-19 recoveries globally .","As of March 16 , 2020 , there are more than 79,500 COVID-19 recoveries globally ."
